fdi,precision,recall,tp,fp,fn,tn
18,0.9285714285714286,1.0,13,1,0,1
17,0.9333333333333333,1.0,14,1,0,0
16,0.9333333333333333,1.0,14,1,0,0
15,0.9333333333333333,1.0,14,1,0,0
14,1.0,0.9333333333333333,14,0,1,0
13,1.0,1.0,15,0,0,0
12,1.0,1.0,15,0,0,0
11,1.0,1.0,15,0,0,0
21,1.0,0.8,12,0,3,0
22,1.0,1.0,15,0,0,0
23,1.0,0.9285714285714286,13,0,1,1
24,1.0,1.0,15,0,0,0
25,0.9333333333333333,1.0,14,1,0,0
26,1.0,1.0,15,0,0,0
27,1.0,1.0,15,0,0,0
28,1.0,1.0,14,0,0,1
48,0.8666666666666667,1.0,13,2,0,0
47,1.0,1.0,15,0,0,0
46,0.9333333333333333,1.0,14,1,0,0
45,0.9333333333333333,1.0,14,1,0,0
44,1.0,1.0,15,0,0,0
43,1.0,0.9333333333333333,14,0,1,0
42,0.9333333333333333,1.0,14,1,0,0
41,1.0,1.0,15,0,0,0
31,1.0,1.0,15,0,0,0
32,0.9230769230769231,0.8571428571428571,12,1,2,0
33,1.0,1.0,15,0,0,0
34,1.0,0.6666666666666666,10,0,5,0
35,0.8666666666666667,1.0,13,2,0,0
36,1.0,1.0,15,0,0,0
37,1.0,1.0,15,0,0,0
38,0.9333333333333333,1.0,14,1,0,0
